"","wavelength","haz_mean_reflectance"
"1278",1278,0.220135
"1279",1279,0.219595
"1280",1280,0.218815
"1281",1281,0.217985
"1282",1282,0.21651
"1283",1283,0.215865
"1284",1284,0.215705
"1285",1285,0.21536
"1286",1286,0.215385
"1287",1287,0.21495
"1288",1288,0.21418
"1289",1289,0.213575
"1290",1290,0.2127
"1291",1291,0.212345
"1292",1292,0.21241
"1293",1293,0.212265
"1294",1294,0.2121
"1295",1295,0.21143
"1296",1296,0.210315
"1297",1297,0.20941
"1298",1298,0.208555
"1299",1299,0.20806
"1300",1300,0.207825
"1301",1301,0.20732
"1302",1302,0.20707
"1303",1303,0.207055
"1304",1304,0.20627
"1305",1305,0.205365
"1306",1306,0.20462
"1307",1307,0.20334
"1308",1308,0.202585
"1309",1309,0.202345
"1310",1310,0.20205
"1311",1311,0.20193
"1312",1312,0.20183
"1313",1313,0.20206
"1314",1314,0.2016
"1315",1315,0.200635
"1316",1316,0.200045
"1317",1317,0.19902
"1318",1318,0.19882
"1319",1319,0.19955
"1320",1320,0.199535
