"","wavelength","rowan_mean_reflectance"
"1172",1172,0.38232
"1173",1173,0.38247
"1174",1174,0.38297
"1175",1175,0.38364
"1176",1176,0.38415
"1177",1177,0.38477
"1178",1178,0.3852
"1179",1179,0.38531
"1180",1180,0.38576
"1181",1181,0.38631
"1182",1182,0.38689
"1183",1183,0.38744
"1184",1184,0.38785
"1185",1185,0.38832
"1186",1186,0.38882
"1187",1187,0.38935
"1188",1188,0.38988
"1189",1189,0.39049
"1190",1190,0.39126
"1191",1191,0.39179
"1192",1192,0.392
"1193",1193,0.39232
"1194",1194,0.39275
"1195",1195,0.39326
"1196",1196,0.39425
"1197",1197,0.39488
"1198",1198,0.39541
"1199",1199,0.39568
"1200",1200,0.39586
"1201",1201,0.39654
"1202",1202,0.39758
"1203",1203,0.3985
"1204",1204,0.39941
"1205",1205,0.39952
"1206",1206,0.39924
"1207",1207,0.39938
"1208",1208,0.39961
"1209",1209,0.40031
"1210",1210,0.40096
"1211",1211,0.40134
"1212",1212,0.40184
"1213",1213,0.40202
"1214",1214,0.40228
"1215",1215,0.40267
"1216",1216,0.40289
"1217",1217,0.40283
"1218",1218,0.40322
"1219",1219,0.40377
"1220",1220,0.40375
"1221",1221,0.40338
"1222",1222,0.40326
"1223",1223,0.40288
"1224",1224,0.40288
"1225",1225,0.4036
"1226",1226,0.40375
"1227",1227,0.4037
"1228",1228,0.40363
"1229",1229,0.40306
"1230",1230,0.40219
"1231",1231,0.40102
"1232",1232,0.4
"1233",1233,0.39913
"1234",1234,0.3983
"1235",1235,0.39744
"1236",1236,0.39681
"1237",1237,0.39563
"1238",1238,0.39397
"1239",1239,0.39291
"1240",1240,0.3916
"1241",1241,0.39029
"1242",1242,0.38934
"1243",1243,0.38784
"1244",1244,0.38611
"1245",1245,0.38457
"1246",1246,0.3828
"1247",1247,0.38089
"1248",1248,0.37878
"1249",1249,0.377
"1250",1250,0.37552
"1251",1251,0.37381
"1252",1252,0.37233
"1253",1253,0.37079
"1254",1254,0.36873
"1255",1255,0.36681
"1256",1256,0.36505
"1257",1257,0.36329
"1258",1258,0.36158
"1259",1259,0.35997
"1260",1260,0.3585
"1261",1261,0.35713
"1262",1262,0.35572
"1263",1263,0.35448
"1264",1264,0.35329
"1265",1265,0.35153
"1266",1266,0.34991
"1267",1267,0.34846
"1268",1268,0.34699
"1269",1269,0.34577
"1270",1270,0.34459
"1271",1271,0.34338
"1272",1272,0.34216
"1273",1273,0.34106
"1274",1274,0.34011
"1275",1275,0.3392
"1276",1276,0.33795
"1277",1277,0.33677
"1278",1278,0.33594
"1279",1279,0.33482
"1280",1280,0.33379
"1281",1281,0.33279
"1282",1282,0.33168
"1283",1283,0.33071
"1284",1284,0.32981
"1285",1285,0.32905
"1286",1286,0.3287
"1287",1287,0.32794
"1288",1288,0.32717
"1289",1289,0.32623
"1290",1290,0.32505
"1291",1291,0.32351
"1292",1292,0.32232
"1293",1293,0.32137
"1294",1294,0.32059
"1295",1295,0.31942
"1296",1296,0.31839
"1297",1297,0.3175
"1298",1298,0.31599
"1299",1299,0.31492
"1300",1300,0.31398
"1301",1301,0.3126
"1302",1302,0.31186
"1303",1303,0.31155
"1304",1304,0.31064
"1305",1305,0.30955
"1306",1306,0.30901
"1307",1307,0.30867
"1308",1308,0.30847
"1309",1309,0.30914
"1310",1310,0.30917
"1311",1311,0.30811
"1312",1312,0.30836
"1313",1313,0.3094
"1314",1314,0.30998
"1315",1315,0.3115
"1316",1316,0.3121
"1317",1317,0.31149
"1318",1318,0.31162
"1319",1319,0.31176
"1320",1320,0.31233
"1321",1321,0.31355
"1322",1322,0.31439
"1323",1323,0.31507
