"","wavelength","pasture_mean_reflectance"
"1169",1169,0.220953
"1170",1170,0.221223
"1171",1171,0.221499
"1172",1172,0.221653
"1173",1173,0.221845
"1174",1174,0.221897
"1175",1175,0.221997
"1176",1176,0.222232
"1177",1177,0.22261
"1178",1178,0.222877
"1179",1179,0.223209
"1180",1180,0.223525
"1181",1181,0.223704
"1182",1182,0.223812
"1183",1183,0.224002
"1184",1184,0.224203
"1185",1185,0.22432
"1186",1186,0.224571
"1187",1187,0.224827
"1188",1188,0.224976
"1189",1189,0.2252
"1190",1190,0.22544
"1191",1191,0.225676
"1192",1192,0.226002
"1193",1193,0.226247
"1194",1194,0.226343
"1195",1195,0.226473
"1196",1196,0.226506
"1197",1197,0.226581
"1198",1198,0.226642
"1199",1199,0.226867
"1200",1200,0.226963
"1201",1201,0.227129
"1202",1202,0.227407
"1203",1203,0.22744
"1204",1204,0.22754
"1205",1205,0.2277
"1206",1206,0.2277
"1207",1207,0.227851
"1208",1208,0.227986
"1209",1209,0.227982
"1210",1210,0.227953
"1211",1211,0.227854
"1212",1212,0.227785
"1213",1213,0.227715
"1214",1214,0.22773
"1215",1215,0.227887
"1216",1216,0.227983
"1217",1217,0.228096
"1218",1218,0.228199
"1219",1219,0.228233
"1220",1220,0.228127
"1221",1221,0.228004
"1222",1222,0.227811
"1223",1223,0.227564
"1224",1224,0.22747
"1225",1225,0.227455
"1226",1226,0.227431
"1227",1227,0.227406
"1228",1228,0.227162
"1229",1229,0.22678
"1230",1230,0.22652
"1231",1231,0.226194
"1232",1232,0.225948
"1233",1233,0.225755
"1234",1234,0.225334
"1235",1235,0.224982
"1236",1236,0.224631
"1237",1237,0.22429
"1238",1238,0.223965
"1239",1239,0.223655
"1240",1240,0.223096
"1241",1241,0.222595
"1242",1242,0.221986
"1243",1243,0.221353
"1244",1244,0.221019
"1245",1245,0.22049
"1246",1246,0.219813
"1247",1247,0.219204
"1248",1248,0.218469
"1249",1249,0.217868
"1250",1250,0.217436
"1251",1251,0.216923
"1252",1252,0.21627
"1253",1253,0.215556
"1254",1254,0.214856
"1255",1255,0.214045
"1256",1256,0.21322
"1257",1257,0.212367
"1258",1258,0.211568
"1259",1259,0.210669
"1260",1260,0.209971
"1261",1261,0.209486
"1262",1262,0.208883
"1263",1263,0.208343
"1264",1264,0.207713
"1265",1265,0.206873
"1266",1266,0.20599
"1267",1267,0.204966
"1268",1268,0.203985
"1269",1269,0.203205
"1270",1270,0.20246
"1271",1271,0.202024
"1272",1272,0.201615
"1273",1273,0.200997
"1274",1274,0.200376
"1275",1275,0.199561
"1276",1276,0.198779
"1277",1277,0.19827
"1278",1278,0.197808
"1279",1279,0.197487
"1280",1280,0.196904
"1281",1281,0.19627
"1282",1282,0.195441
"1283",1283,0.194894
