"","wavelength","mean_deciduous_reflectance","sitka_mean_reflectance","pasture_mean_reflectance","moss_mean_reflectance","rho_mean_reflectance","grass_mean_reflectance","br_mean_reflectance","ash_mean_reflectance","alder_mean_reflectance","birch_mean_reflectance","beech_mean_reflectance","haz_mean_reflectance","hc_mean_reflectance","lime_mean_reflectance","rowan_mean_reflectance","syc_mean_reflectance"
"120",120000,499.156296296296,618.778571428571,824.261,592.126153846154,539.318333333333,674.8925,707.515,736.71,457.501666666667,510.548333333333,388.926666666667,449.795,436.82,385.51,686.7,439.895
"121",121000,499.068055555556,617.555714285714,822.91,591.566153846154,538.894444444445,674.326944444444,706.827222222222,736.56,457.386666666667,510.364166666667,388.856666666667,449.675,436.7,385.45,686.84,439.78
"122",122000,499.005277777778,616.261428571428,821.453,590.998461538462,538.457777777778,673.73,706.084444444444,736.32,457.266666666667,510.174166666667,388.646666666667,449.61,436.76,385.54,687.04,439.69
"123",123000,498.90712962963,614.857142857143,819.796,590.319230769231,537.966666666667,673.010833333333,705.242777777778,736.2,457.146666666667,509.945833333333,388.596666666667,449.47,436.64,385.45,687.15,439.565
"124",124000,498.803148148148,613.41,818.033,589.613076923077,537.452222222222,672.268888888889,704.323888888889,736.26,457.03,509.706666666667,388.596666666667,449.27,436.45,385.37,687.11,439.435
"125",125000,498.677685185185,611.754285714286,816.111,588.756923076923,536.875,671.336111111111,703.324444444444,736.16,456.866666666667,509.4425,388.5,449.12,436.28,385.24,687.2,439.29
"126",126000,498.536388888889,610.005714285714,814.058,587.801538461538,536.266111111111,670.278055555556,702.266111111111,736.09,456.691666666667,509.150833333333,388.43,448.975,436.03,384.87,687.44,439.15
"127",127000,498.375740740741,608.062857142857,811.741,586.734615384615,535.576666666667,669.088333333333,701.085555555556,735.94,456.518333333333,508.82,388.353333333333,448.805,435.81,384.66,687.5,438.975
"128",128000,498.203611111111,605.981428571429,809.259,585.572307692308,534.845,667.778611111111,699.837222222222,735.73,456.326666666667,508.474166666667,388.166666666667,448.7,435.6,384.58,687.48,438.775
"129",129000,498.001388888889,603.662857142857,806.623,584.285384615385,534.021111111111,666.324722222222,698.487222222222,735.36,456.123333333333,508.094166666667,387.98,448.515,435.43,384.47,687.46,438.58
"130",130000,497.7625,601.165714285714,803.677,582.853076923077,533.106111111111,664.733055555556,696.943888888889,734.98,455.921666666667,507.6675,387.943333333333,448.18,435.18,384.22,687.42,438.35
"131",131000,497.512685185185,598.481428571429,800.563,581.353846153846,532.129444444444,663.0125,695.302222222222,734.64,455.67,507.194166666667,387.93,447.885,434.91,384.07,687.27,438.045
"132",132000,497.245185185185,595.507142857143,797.203,579.686153846154,531.077777777778,661.079166666667,693.539444444444,734.36,455.348333333333,506.678333333333,387.82,447.565,434.63,383.84,687.24,437.725
"133",133000,496.937685185185,592.388571428571,793.525,577.862307692308,529.958333333333,659.002777777778,691.617222222222,734.09,454.983333333333,506.130833333333,387.64,447.185,434.32,383.5,687.18,437.41
"134",134000,496.632685185185,589.108571428571,789.618,575.888461538462,528.737222222222,656.804722222222,689.578888888889,733.69,454.675,505.544166666667,387.49,446.85,434.02,383.25,687.08,437.095
"135",135000,496.333055555556,585.667142857143,785.419,573.773846153846,527.453888888889,654.476666666667,687.446111111111,733.31,454.373333333333,504.924166666667,387.3,446.565,433.77,383.07,686.9,436.785
"136",136000,495.988888888889,582.028571428571,781.03,571.506153846154,526.064444444444,651.984166666667,685.144444444444,732.82,454.046666666667,504.245,387.143333333333,446.18,433.44,382.8,686.78,436.445
"137",137000,495.620833333333,578.191428571429,776.367,569.036153846154,524.565555555556,649.346388888889,682.670555555556,732.12,453.78,503.5125,387.05,445.745,433.06,382.5,686.71,436.11
"138",138000,495.23037037037,574.261428571429,771.63,566.557692307692,523.004444444444,646.596666666667,680.128888888889,731.53,453.41,502.763333333333,386.87,445.32,432.7,382.2,686.55,435.73
