wavelength,mean_deciduous_reflectance,sitka_mean_reflectance,pasture_mean_reflectance,moss_mean_reflectance,rho_mean_reflectance,grass_mean_reflectance,br_mean_reflectance,ash_mean_reflectance,alder_mean_reflectance,birch_mean_reflectance,beech_mean_reflectance,haz_mean_reflectance,hc_mean_reflectance,lime_mean_reflectance,rowan_mean_reflectance,syc_mean_reflectance
473,0.498803148,0.61341,0.818033,0.589613077,0.537452222,0.672268889,0.704323889,0.73626,0.45703,0.509706667,0.388596667,0.44927,0.43645,0.38537,0.68711,0.439435
474,0.498677685,0.611754286,0.816111,0.588756923,0.536875,0.671336111,0.703324444,0.73616,0.456866667,0.5094425,0.3885,0.44912,0.43628,0.38524,0.6872,0.43929
475,0.498536389,0.610005714,0.814058,0.587801538,0.536266111,0.670278056,0.702266111,0.73609,0.456691667,0.509150833,0.38843,0.448975,0.43603,0.38487,0.68744,0.43915
476,0.498375741,0.608062857,0.811741,0.586734615,0.535576667,0.669088333,0.701085556,0.73594,0.456518333,0.50882,0.388353333,0.448805,0.43581,0.38466,0.6875,0.438975
477,0.498203611,0.605981429,0.809259,0.585572308,0.534845,0.667778611,0.699837222,0.73573,0.456326667,0.508474167,0.388166667,0.4487,0.4356,0.38458,0.68748,0.438775
478,0.498001389,0.603662857,0.806623,0.584285385,0.534021111,0.666324722,0.698487222,0.73536,0.456123333,0.508094167,0.38798,0.448515,0.43543,0.38447,0.68746,0.43858
479,0.4977625,0.601165714,0.803677,0.582853077,0.533106111,0.664733056,0.696943889,0.73498,0.455921667,0.5076675,0.387943333,0.44818,0.43518,0.38422,0.68742,0.43835
480,0.497512685,0.598481429,0.800563,0.581353846,0.532129444,0.6630125,0.695302222,0.73464,0.45567,0.507194167,0.38793,0.447885,0.43491,0.38407,0.68727,0.438045
481,0.497245185,0.595507143,0.797203,0.579686154,0.531077778,0.661079167,0.693539444,0.73436,0.455348333,0.506678333,0.38782,0.447565,0.43463,0.38384,0.68724,0.437725
482,0.496937685,0.592388571,0.793525,0.577862308,0.529958333,0.659002778,0.691617222,0.73409,0.454983333,0.506130833,0.38764,0.447185,0.43432,0.3835,0.68718,0.43741
483,0.496632685,0.589108571,0.789618,0.575888462,0.528737222,0.656804722,0.689578889,0.73369,0.454675,0.505544167,0.38749,0.44685,0.43402,0.38325,0.68708,0.437095
484,0.496333056,0.585667143,0.785419,0.573773846,0.527453889,0.654476667,0.687446111,0.73331,0.454373333,0.504924167,0.3873,0.446565,0.43377,0.38307,0.6869,0.436785
485,0.495988889,0.582028571,0.78103,0.571506154,0.526064444,0.651984167,0.685144444,0.73282,0.454046667,0.504245,0.387143333,0.44618,0.43344,0.3828,0.68678,0.436445
486,0.495620833,0.578191429,0.776367,0.569036154,0.524565556,0.649346389,0.682670556,0.73212,0.45378,0.5035125,0.38705,0.445745,0.43306,0.3825,0.68671,0.43611
